,COLLECTION_DATE,FLOODING_DATE,FLOOD_DEPTH,FLOOD_DEPTH_OTHER,FLOOD_FREQUENCY,FLOOD_FREQUENCY_OTHER,PROPERTY_TYPE,AFFECTED_AREA,OTHER_INFORMATION,OBSERVATIONS,AFFECTED_AGRICULTURE,AFFECTED_AGRICULTURE_OTHER,SURVEY_TYPE,MONTH,YEAR,EVENT_TYPE,EVENT_TYPE_OTHER,EVENT_NAME,COUNTY,MUNICIPALITY,SPECIAL_DISTRICT_NAME,FLOOD_PRONE_AREA_ID,AHED_WS_NAME,PHOTO,UNIQUE_ID,geometry
10,2022-09-30T16:00:00+00:00,2022-09-30T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Mixed_Use,don't_know,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,ORLANDO,,,,No,05713ca8-3863-4bdb-9805-540fb10ee3bd,POINT (533788.3284245804 1536421.627981909)
11,2022-07-20T16:00:00+00:00,2022-07-20T16:00:00+00:00,ankle_deep,,whenever_it_rains,,Residential,building_structure,,,,,Public,07,2022,Extreme or Heavy Rainfall,Rain,2022 July Extreme Rain Event,Martin,NA,,,C-44,No,05824f28-3dcd-4f9a-bd49-4ead56005683,POINT (828557.0272718295 985698.5519368201)
12,2022-06-04T16:00:00+00:00,2022-06-04T16:00:00+00:00,knee_deep,,whenever_it_rains,,Residential,building_structure,,,,,Public,06,2022,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2022 June Tropical Storm Alex,Miami-Dade,MIAMI,,MIAMI,MIAMI RIVER,No,059545aa-3403-457d-8776-e48f6afcdd15,POINT (921232.9954628274 521467.0220684037)
13,2020-11-11T05:00:00+00:00,2020-11-11T05:00:00+00:00,don't_know,,don't_know,,Residential,storm_drain,,There is flooding in front of our house in Pembroke Falls (Heron Cay). Drain seems to be clogged. Can we get someone to unclog the drain?,,,Email,11,2020,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2020 Nov Tropical Storm Eta,Broward,PEMBROKE PINES,SOUTH BROWARD DRAINAGE DISTRICT,PEMBROKE PINES WEST,C-9 WEST,No,05afaa11-07a7-457a-8c90-9113d9e0481a,POINT (875689.5406181626 611668.6700768247)
14,2022-09-30T16:00:00+00:00,2022-09-30T16:00:00+00:00,other,Above high water mark. ,don't_know,,Commercial,don't_know,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Lee,NA,,LEE COUNTY CALOOSAHATCHEE RIVER,WEST CALOOSAHATCHEE,No,06675167-92e9-429d-ad28-119ebe69f3f9,POINT (430409.2989625782 869116.6794579923)
15,2022-11-10T17:26:00+00:00,2022-11-10T17:26:00+00:00,don't_know,,don't_know,,Residential,road_street,,Neighbor requests a pump for the flooding at NE 19th Ave/ NE 6th st. People cannot get through the flooding water.,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Broward,FORT LAUDERDALE,,FORT LAUDERDALE EAST,CORAL REEF,No,068f1dff-03cc-4b2e-8c69-51398230e638,POINT (944580.7000796609 654208.4596689865)
16,2022-10-04T16:00:00+00:00,2022-10-04T16:00:00+00:00,knee_deep,,don't_know,,Residential,don't_know,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,06eab161-36bb-4962-9c34-9cf337081723,POINT (584136.6919664964 1458871.490759656)
17,2022-09-28T16:00:00+00:00,2022-09-28T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Residential,don't_know,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,BOGGY CREEK AT EAST LAKE TOHOPEKALIGA,EAST LAKE TOHOPEKALIGA,No,0713b5d5-7a13-4ae6-9ef5-664494b53183,POINT (553645.3297209963 1458573.158022992)
18,2022-10-07T10:08:04+00:00,,don't_know,,don't_know,,Residential,don't_know,,220907_Lake_Ajay_Community-01938.jpg,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,07755ea2-6dad-42a7-b9ba-4ef573d544e8,POINT (584875.7856326625 1458814.827159069)
19,2022-09-29T16:01:58+00:00,,don't_know,,don't_know,,Residential,road_street,,220929_Ian_Lee-20220929_200158601_iOS.jpg,,,Photo Database,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Lee,NA,EAST MULLOCH DRAINAGE DISTRICT,LEE COUNTY INLAND COAST,ESTERO BAY,Yes,0797e819-076a-4ca7-b917-32cda0a12071,POINT (378658.9483952448 783597.598199904)
20,2022-10-03T16:00:00+00:00,2022-10-03T16:00:00+00:00,ankle_deep,,don't_know,,Residential,road_street,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,No,07f72545-7cd1-4aff-b900-92ff03b6b937,POINT (601320.5237404965 1469357.674839742)
21,2021-11-05T20:40:00+00:00,,ankle_deep,,don't_know,,Mixed_Use,road_street,,,,,Public,11,2021,extreme_heavy_rainfall_tidal_flooding,Both_Rain_Tidal,2021 Nov Rain and Tidal Event,Broward,FORT LAUDERDALE,,FORT LAUDERDALE DOWNTOWN,CORAL REEF,No,0814a20a-4b64-4eee-9432-8a732e7e235e,POINT (935215.3090335801 651090.3133462369)
22,2022-11-17T17:00:00+00:00,2022-11-17T17:00:00+00:00,other,Edge of Lake Myrtle,sometimes,,Agriculture,field_open_natural_area,,,,,Public,11,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,"LAKES PRESTON, JOEL, AND MYRTLE",LAKE MYRTLE,Yes,08168098-3689-49f7-8e32-8eed5202c41d,POINT (606147.7473537438 1437171.642099075)
23,2022-09-29T16:27:12+00:00,,don't_know,,don't_know,,Residential,building_structure,,220929_Ian_Lee-20220929_202712043_iOS.jpg,,,Photo Database,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Lee,NA,,LEE COUNTY CALOOSAHATCHEE RIVER,TIDAL SOUTH,Yes,0850989c-8e2d-4acd-a54e-8d4ebc999105,POINT (408794.9704721607 858559.3085124046)
24,2022-10-02T21:00:00+00:00,,ankle_deep,,yes_it_always_floods_here,,Residential,other,,Tidal Flooding. Entire block flooded,,,Public,10,2022,High Tide/Tidal Flooding,Tidal,2022 Sept Tidal Event,Broward,HOLLYWOOD,,HOLLYWOOD,CORAL REEF,No,0883a162-3a1d-4acf-ae03-85e91d42e39a,POINT (944170.5676978305 608768.5886066556)
25,2022-10-07T10:17:44+00:00,,don't_know,,don't_know,,Residential,don't_know,,220907_Lake_Ajay_Community-02092.jpg,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,08991de0-5ec6-4b12-bcbd-8131695bc816,POINT (583685.4605854973 1458704.321802653)
26,2022-11-09T20:32:00+00:00,2022-11-09T20:32:00+00:00,don't_know,,don't_know,,Residential,storm_drain,,Street drains are clogged.,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Broward,FORT LAUDERDALE,,FORT LAUDERDALE SOUTH,CORAL REEF,No,09524f26-8e28-4283-b4ad-f6110d13fd90,POINT (932172.9374936633 638924.59883257)
27,2022-11-08T17:00:00+00:00,2022-11-08T17:00:00+00:00,other,Very high water levels,whenever_it_rains,,Governmental,building_structure,,,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Miami-Dade,MIAMI SHORES,,MIAMI SHORES,NORTH BISCAYNE BAY,No,0bec626c-9f4f-4936-8aa0-e57f7b62668f,POINT (925876.0681976639 559949.3912977427)
28,2022-10-19T16:00:00+00:00,2022-10-19T16:00:00+00:00,other,,whenever_it_rains,,Natural_Area_Open_Land_Recreational,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,,SHINGLE CREEK,Yes,0d42cefc-e45a-411b-9956-e2a323e6d704,POINT (498212.1449839137 1481577.623824991)
29,2022-09-24T12:10:00+00:00,,less_than_ankle_deep,,don't_know,,Natural_Area_Open_Land_Recreational,field_open_natural_area,,,,,Public,09,2022,High Tide/Tidal Flooding,Tidal,2022 Sept Tidal Event,Broward,FORT LAUDERDALE,,FORT LAUDERDALE DOWNTOWN,CORAL REEF,No,0df78868-c25c-426e-81c4-7636a94a7818,POINT (935733.656093996 650117.2732975706)
30,2022-10-03T16:00:00+00:00,2022-10-03T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Residential,don't_know,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,ST CLOUD,,CITY OF ST CLOUD DOWNTOWN,LAKE TOHOPEKALIGA,Yes,0f53a033-d670-4bcf-9f41-e70e8490ece2,POINT (555068.2822556607 1427655.31467507)
31,2022-11-11T17:51:00+00:00,,ankle_deep,,don't_know,,Natural_Area_Open_Land_Recreational,field_open_natural_area,,This water may have been left over from Hurricane Nicole,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Broward,HOLLYWOOD,,HOLLYWOOD,CORAL REEF,No,0fc4553a-10f8-4d6f-ac6a-0588339b4a5f,POINT (946751.6484936625 623201.5200425759)
32,2022-10-06T16:00:00+00:00,2022-10-06T16:00:00+00:00,ankle_deep,,don't_know,,Commercial,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,CYPRESS LAKE BOATRAMP,LAKE CYPRESS,Yes,1030a867-097b-4638-9178-414c71314d9e,POINT (558623.7918769121 1363441.690149821)
33,2008-08-21T07:50:47+00:00,,don't_know,,don't_know,,Residential,building_structure,,pia6533.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,NA,NORTH ST LUCIE RIVER WATER CONTROL DISTRICT,TEN MILE CREEK,TEN MILE CREEK,Yes,10856c59-46b1-4cec-8b9d-c7e686ac2b4c,POINT (850735.737507496 1116064.717385076)
34,2022-06-01T16:00:00+00:00,2022-06-01T16:00:00+00:00,ankle_deep,,whenever_it_rains,,Commercial,building_structure,,,,,Public,06,2022,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2022 June Tropical Storm Alex,Miami-Dade,NA,,NORTH MIAMI-DADE,C-6,No,10dba43a-ef5e-4432-a1b6-f53158713d2e,POINT (878761.1709578298 547364.7163359076)
35,2022-11-09T18:47:00+00:00,2022-11-09T18:47:00+00:00,don't_know,,don't_know,,Residential,storm_drain,,neighbor states the drain is blocked with trash,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Broward,FORT LAUDERDALE,,FORT LAUDERDALE DOWNTOWN,C-12E,No,113765f8-0404-4fdc-a982-e2f8d2f95823,POINT (933802.292502664 652505.9177984893)
36,2008-08-21T07:43:03+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6519.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,PORT ST LUCIE,,ST LUCIE RIVER TIDAL NORTH FORK,TIDAL ST. LUCIE NORTH FORK,Yes,127d3f09-f8bf-4b13-b2fc-c30033b04060,POINT (858010.3886405788 1080909.127591409)
37,2022-10-06T16:00:00+00:00,2022-10-06T16:00:00+00:00,don't_know,,don't_know,,Residential,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,12d2a2df-4952-4fa8-8a6b-e52e8033fb7c,POINT (600849.0194341615 1467576.128534071)
38,2022-10-03T10:28:39+00:00,,don't_know,,don't_know,,Natural_Area_Open_Land_Recreational,don't_know,,221003_Hurricane_Ian_Polk_County_Packingham_slough_South_P1070107.JPG,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Polk,NA,,PACKINGHAM SLOUGH / RIVER RANCH VICINITY,S-65A,Yes,13989976-d5c2-47eb-8463-5709b8bb2f90,POINT (585739.8590357453 1254951.480621487)
39,2022-06-03T22:28:00+00:00,,ankle_deep,,yes_it_always_floods_here,,Residential,road_street,,This whole area always floods even with a little amount of rain. You cant even bring your car to park since it gets so high.,,,Public,06,2022,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2022 June Tropical Storm Alex,Broward,OAKLAND PARK,,,NORTH FORK MIDDLE RIVER,No,1402a5e0-3e31-4115-aa95-60866dedbb7f,POINT (939738.7032019943 666664.1722903252)
40,2008-08-21T07:55:24+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6551.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,FORT PIERCE,NORTH ST LUCIE RIVER WATER CONTROL DISTRICT,FT PIERCE AT FIVE MILE CREEK AND OKEECHOBEE ROAD,TIDAL ST. LUCIE NORTH FORK,Yes,155088a0-e72d-4407-b90d-27abed165134,POINT (861309.5454280786 1127688.849320486)
41,2020-06-03T04:00:00+00:00,2020-06-03T04:00:00+00:00,don't_know,,don't_know,,Residential,road_street,,"I am a resident of a developing community in Palm City, Florida named Berry Grove. Our community has a retention pond at its center surrounded by homes. Our community is adjacent to the Danforth Creek. I believe our surface rain water is initially diverted to our retention pond and at rather slow rate is released to the Danforth Creek. About level with our properties elevation is a 5'x5' ""emergency"" drain. It layman terms I believe this sits too high for our neighborhood as our retention pond is very rapidly and often overwhelmed by average size rain storms. We would like to have this lowered to allow sooner release of our retention ponds water. Many of our homes have water inches from doorsteps during average rains. During tropical storm or greater level rainfall homes WILL undoubtedly succumb to flooding. Please help us rectify this situation. Thank you for your time and efforts Respectfully Jason Vanbuskirk",,,Email,06,2022,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2022 June Tropical Storm Alex,Martin,NA,,ST LUCIE RIVER SOUTH FORK WEST SIDE,BASIN 6,No,15560e79-b228-4d88-b5c9-8dbbdca702f3,POINT (888781.1778206639 1029678.751049742)
42,2022-06-04T13:30:00+00:00,,ankle_deep,,don't_know,,Residential,road_street,,,,,Public,06,2022,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2022 June Tropical Storm Alex,Broward,MARGATE,,,C-14 WEST,No,1559e853-757a-4ffb-8c0b-0febc5acf7b1,POINT (908874.5825156607 697908.336507909)
43,2022-10-14T16:00:00+00:00,2022-10-14T16:00:00+00:00,ankle_deep,,don't_know,,Residential,don't_know,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,16efd5da-0b11-4b56-ae50-d6deb7266826,POINT (581700.2178368308 1458205.806395486)
44,2020-11-09T05:00:00+00:00,2020-11-09T05:00:00+00:00,don't_know,,don't_know,,Residential,road_street,,Today 11/9/2020 - Items for attention as your phones are constantly busy. I am in western Pembroke Pines and lakes are filled with water flooding streets and  water approaching our front doors.  Lift stations failing. Please get the pumps running to make up for lost time in getting lake levels down.,,,Email,11,2020,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2020 Nov Tropical Storm Eta,Broward,PEMBROKE PINES,SOUTH BROWARD DRAINAGE DISTRICT,PEMBROKE PINES WEST,C-11 WEST,No,1708d9c1-9d66-4caf-9a94-b6279acf47d3,POINT (868395.0427399948 614631.9896094874)
45,2022-10-09T16:00:00+00:00,2022-10-09T16:00:00+00:00,ankle_deep,,don't_know,,Residential,don't_know,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,175141ad-d505-489c-b8b6-c1ec7ba5ec9b,POINT (581837.4842945784 1456988.083109155)
46,2022-11-10T17:00:00+00:00,2022-11-10T17:00:00+00:00,other,1 Foot ,whenever_it_rains,,Governmental,building_structure,,,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Miami-Dade,CORAL GABLES,,,DA-3-REVISAR,No,183dd1f2-6075-495a-8c48-57b417d41e24,POINT (892078.1197175793 486239.3589280769)
47,2020-11-10T05:00:00+00:00,2020-11-10T05:00:00+00:00,don't_know,,don't_know,,Residential,road_street,,"I live in Boca Winds, West Boca. Residents are asking if and when our canals / lakes will start receding.  I worked for North Springs Water district some years ago and we would drain the canals from different locations. Is there any info you can give me concerning our over filled lakes. The water is in some cases over the bottom of residents tress.",,,Email,11,2020,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2020 Nov Tropical Storm Eta,Palm Beach,NA,,,HILLSBORO CANAL,No,183fb06a-0d77-4da8-baf9-f0f2e11099a6,POINT (903798.2806604132 731721.0034624934)
48,2021-09-09T15:38:00+00:00,,less_than_ankle_deep,,don't_know,,Mixed_Use,seawall,,,,,Public,09,2021,High Tide/Tidal Flooding,Tidal,2021 Sept Tidal Event,Broward,FORT LAUDERDALE,,FORT LAUDERDALE DOWNTOWN,CORAL REEF,No,18943606-a799-40c1-9313-34fc278502b7,POINT (935731.5045234971 650107.6283037364)
49,2022-10-10T16:00:00+00:00,2022-10-10T16:00:00+00:00,ankle_deep,,don't_know,,Residential,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,18bca2a1-e760-42e0-a350-b186ed33cbf1,POINT (600914.1249469966 1467448.736400403)
50,2020-11-09T05:00:00+00:00,2020-11-09T05:00:00+00:00,don't_know,,don't_know,,Residential,storm_drain,,"The storm drains are not working and the entire street is flooded.  My property alone is flooded front to back with 4""of water running through the garage.",,,Email,11,2020,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2020 Nov Tropical Storm Eta,Broward,DAVIE,CENTRAL BROWARD WATER CONTROL DISTRICT,DAVIE,C-11 WEST,No,194bdad2-bf68-4eb0-841e-e5298395bc3a,POINT (880963.399492994 633697.781858407)
51,2022-09-30T16:00:00+00:00,2022-09-30T16:00:00+00:00,other,Trash Line Mark,don't_know,,Industrial,building_structure,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Collier,NA,,COCOHATCHEE,COCOHATCHEE,Yes,19dcbcbe-5bb5-4acf-820e-46b0d60764bc,POINT (400689.5942944959 705603.8791876584)
52,2022-06-04T16:00:00+00:00,2022-06-04T16:00:00+00:00,greater_than_knee_deep,,whenever_it_rains,,Residential,don't_know,,,,,Public,06,2022,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2022 June Tropical Storm Alex,Miami-Dade,MIAMI,,MIAMI,MIAMI RIVER,No,19ff0d76-63b9-4c8d-94a7-1244c744ca1f,POINT (921232.9954628274 521467.0220684037)
53,2022-11-09T06:44:00+00:00,2022-11-09T06:44:00+00:00,don't_know,,don't_know,,Mixed_Use,road_street,,POLICE CALLED STATING STREETS ARE FLOODED,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Broward,FORT LAUDERDALE,,FORT LAUDERDALE EAST,CORAL REEF,No,1b0504eb-3eb3-46a2-acb4-dd4f901febbb,POINT (950396.6241433285 656449.0975761563)
54,2022-10-10T16:00:00+00:00,2022-10-10T16:00:00+00:00,ankle_deep,,don't_know,,Residential,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,1b21ea53-de01-46b2-a358-44a603ae469c,POINT (599469.6658936627 1465281.546837159)
55,2020-11-09T13:15:00+00:00,,knee_deep,,sometimes,,Residential,road_street,,This is a recurrence of flooding event at the Savannah community in the City of Weston.  Flooded areas remain flooded for a couple days (2-3 days).  Has occurred during high intensity rainfall events. ,,,Public,11,2020,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2020 Nov Tropical Storm Eta,Broward,WESTON,INDIAN TRACE DEVELOPMENT DISTRICT,,C-11 WEST,No,1c01d8fe-1989-44be-932e-fc6fbf224dac,POINT (849310.4962634966 649895.044411324)
56,2022-06-04T16:00:00+00:00,2022-06-04T16:00:00+00:00,ankle_deep,,don't_know,,Residential,building_structure,,,,,Public,06,2022,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2022 June Tropical Storm Alex,Miami-Dade,DORAL,,DORAL,C-6,No,1d0d9e3c-c49b-485c-8e6e-898f2e889e15,POINT (876750.724519413 537868.316037409)
57,2008-08-19T09:32:04+00:00,,ankle_deep,,don't_know,,Residential,road_street,,pia6365.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,PORT ST LUCIE,,ST LUCIE RIVER TIDAL NORTH FORK,TIDAL ST. LUCIE NORTH FORK,Yes,1dbef559-22a1-482a-a5da-0a08e7943300,POINT (864619.9157758281 1067473.244030155)
