,GetData,Dbkey,Station,Group,Site,Data Type,Freq,Stat,Recorder,Agency,Sensor,Start Date,End Date,Strata,OpNum,County,Latitude,Longitude,X Coord,Y Coord,Basin,Struct,Sec,Twp,Rng,start_date,end_date
17,,04148,2B-T1,2B-T1,2B-T1,STG,DA,MEAN,????,WMD,,31-AUG-1985,22-JAN-2013,0,,BRO,260746.309,802158.179,864125.007,653276.071,CA2B,,5,50,40,19850831,20130122
18,,05107,3A-10_B,3A-10,G3A10,STG,BK,INST,A10,WMD,,07-MAR-1978,21-JAN-2000,0,,BRO,261645.292,804424.21,741341.842,707272.215,CA3A,,33,48,36,19780307,20000121
19,,88511,3A-10_B,3A-10_B,G3A10,STG,BK,INST,CR10,WMD,,21-JAN-2000,07-NOV-2022,0,,BRO,261645.292,804424.21,741341.842,707272.215,CA3A,,33,48,36,20000121,20221107
20,,05108,3A-10_B,3A-10,G3A10,STG,DA,MEAN,A10,WMD,,07-MAR-1978,21-JAN-2000,0,,BRO,261645.292,804424.21,741341.842,707272.215,CA3A,,33,48,36,19780307,20000121
21,,KS831,3A-10_B,3A-10_B,G3A10,STG,DA,MEAN,CR10,WMD,,21-JAN-2000,21-NOV-2022,0,,BRO,261645.292,804424.21,741341.842,707272.215,CA3A,,33,48,36,20000121,20221121
22,,05109,3A-11_B,3A-11,G3A11,STG,BK,INST,A10,WMD,,06-JAN-1981,06-JAN-2000,0,,BRO,261305.301,804438.212,740111.32,685058.455,CA3A,,13,49,35,19810106,20000106
23,,88512,3A-11_B,3A-11,G3A11,STG,BK,INST,CR10,WMD,,06-JAN-2000,01-NOV-2024,0,,BRO,261305.301,804438.212,740111.32,685058.455,CA3A,,13,49,35,20000106,20241101
24,,05110,3A-11_B,3A-11,G3A11,STG,DA,MEAN,A10,WMD,,06-JAN-1981,06-JAN-2000,0,,BRO,261305.301,804438.212,740111.32,685058.455,CA3A,,13,49,35,19810106,20000106
25,,KT595,3A-11_B,3A-11,G3A11,STG,DA,MEAN,CR10,WMD,,06-JAN-2000,31-OCT-2024,0,,BRO,261305.301,804438.212,740111.32,685058.455,CA3A,,13,49,35,20000106,20241031
26,,05111,3A-12_B,3A-12,G3A12,STG,BK,INST,A35,WMD,,11-JAN-1978,19-AUG-1999,0,,BRO,261008.307,804033.207,762467.997,667238.435,CA3A,,20,49,37,19780111,19990819
27,,WN397,3A-12_B,3A-12_B,G3A12,STG,BK,INST,CR10,WMD,,20-AUG-1999,28-OCT-2024,0,,BRO,261008.307,804033.207,762467.997,667238.435,CA3A,,20,49,37,19990820,20241028
28,,05112,3A-12_B,3A-12,G3A12,STG,DA,MEAN,A35,WMD,,11-JAN-1978,19-AUG-1999,0,,BRO,261008.307,804033.207,762467.997,667238.435,CA3A,,20,49,37,19780111,19990819
29,,JO081,3A-12_B,3A-12_B,G3A12,STG,DA,MEAN,CR10,WMD,,20-AUG-1999,28-OCT-2024,0,,BRO,261008.307,804033.207,762467.997,667238.435,CA3A,,20,49,37,19990820,20241028
30,,07631,3A-2,3A-2,3A-2,STG,RI,DWR,????,WMD,,01-MAR-1988,18-APR-1998,0,,BRO,261027.307,804456.213,738502.82,669103.687,CA3A,,32,49,36,19880301,19980418
31,,07634,3A-28,3A-28,3A-28,STG,RI,DWR,????,WMD,,01-MAR-1988,18-APR-1998,0,,DAD,254856.357,804317.22,747799.094,538787.08,CA3A,,34,53,36,19880301,19980418
32,,VM644,3A-28,3A-28,3A-28,STG,BK,INST,CR10,WMD,,28-AUG-1990,28-AUG-1991,0,,DAD,254856.357,804317.22,747799.094,538787.08,CA3A,,34,53,36,19900828,19910828
33,,VM643,3A-28,3A-28,3A-28,STG,DA,MEAN,CR10,WMD,,28-AUG-1990,28-AUG-1991,0,,DAD,254856.357,804317.22,747799.094,538787.08,CA3A,,34,53,36,19900828,19910828
34,,07632,3A-3,3A-3,3A-3,STG,RI,DWR,????,WMD,,01-MAR-1988,18-APR-1998,0,,BRO,261118.1,803151.91,809937.763,674431.377,CA3A,,15,49,38,19880301,19980418
35,,VM646,3A-3,3A-3,3A-3,STG,BK,INST,CR10,WMD,,31-AUG-1990,26-AUG-1991,0,,BRO,261118.1,803151.91,809937.763,674431.377,CA3A,,15,49,38,19900831,19910826
36,,VM645,3A-3,3A-3,3A-3,STG,DA,MEAN,CR10,WMD,,31-AUG-1990,26-AUG-1991,0,,BRO,261118.1,803151.91,809937.763,674431.377,CA3A,,15,49,38,19900831,19910826
37,,07633,3A-4,3A-4,3A-4,STG,RI,DWR,????,WMD,,01-MAR-1988,18-APR-1998,0,,BRO,255830.29,804010.52,764715.056,596771.723,CA3A,,30,51,37,19880301,19980418
38,,VM648,3A-4,3A-4,3A-4,STG,BK,INST,CR10,WMD,,17-AUG-1990,28-AUG-1991,0,,BRO,255830.29,804010.52,764715.056,596771.723,CA3A,,30,51,37,19900817,19910828
39,,KT594,3A-4,3A-4,3A-4,STG,BK,INST,CR10,WMD,,04-OCT-1999,02-AUG-2003,0,,BRO,255830.29,804010.52,764715.056,596771.723,CA3A,,30,51,37,19991004,20030802
40,,VM647,3A-4,3A-4,3A-4,STG,DA,MEAN,CR10,WMD,,17-AUG-1990,28-AUG-1991,0,,BRO,255830.29,804010.52,764715.056,596771.723,CA3A,,30,51,37,19900817,19910828
41,,JX560,3A-4,3A-4,3A-4,STG,DA,MEAN,CR10,WMD,,04-OCT-1999,02-AUG-2003,0,,BRO,255830.29,804010.52,764715.056,596771.723,CA3A,,30,51,37,19991004,20030802
42,,05105,3A-9_B,3A-9,G3A9,STG,BK,INST,A35,WMD,,02-DEC-1981,03-FEB-1999,0,,BRO,260722.313,803852.205,771715.263,650503.135,CA3A,,34,49,37,19811202,19990203
43,,JA337,3A-9_B,3A-9_B,G3A9,STG,BK,INST,CR10,WMD,,03-FEB-1999,20-DEC-2012,0,,BRO,260722.313,803852.205,771715.263,650503.135,CA3A,,34,49,37,19990203,20121220
44,,05106,3A-9_B,3A-9,G3A9,STG,DA,MEAN,A35,WMD,,02-DEC-1981,03-FEB-1999,0,,BRO,260722.313,803852.205,771715.263,650503.135,CA3A,,34,49,37,19811202,19990203
45,,JA261,3A-9_B,3A-9_B,G3A9,STG,DA,MEAN,CR10,WMD,,03-FEB-1999,20-DEC-2012,0,,BRO,260722.313,803852.205,771715.263,650503.135,CA3A,,34,49,37,19990203,20121220
46,,05099,3A-NE,3A-NE,G3ANE,STG,BK,INST,TOW1,WMD,,09-JUN-1971,02-AUG-2000,0,,BRO,261608.28,803652.14,782502.11,703639.313,CA3A,,5,48,38,19710609,20000802
47,,LX282,3A-NE,3A-NE,G3ANE,STG,BK,INST,CR10,WMD,,02-AUG-2000,01-NOV-2024,0,,BRO,261608.28,803652.14,782502.11,703639.313,CA3A,,5,48,38,20000802,20241101
48,,15748,3A-NE,3A-NE,G3ANE,STG,DA,MEAN,NA,WMD,,01-MAR-1992,30-SEP-1993,0,,BRO,261608.28,803652.14,782502.11,703639.313,CA3A,,5,48,38,19920301,19930930
49,,05100,3A-NE,3A-NE,G3ANE,STG,DA,MEAN,TOW1,WMD,,09-JUN-1971,02-AUG-2000,0,,BRO,261608.28,803652.14,782502.11,703639.313,CA3A,,5,48,38,19710609,20000802
50,,LX277,3A-NE,3A-NE,G3ANE,STG,DA,MEAN,CR10,WMD,,02-AUG-2000,31-OCT-2024,0,,BRO,261608.28,803652.14,782502.11,703639.313,CA3A,,5,48,38,20000802,20241031
51,,07602,3A-NW,3A-NW,G3ANW,STG,RI,DWR,????,WMD,,01-MAR-1988,17-APR-1998,0,,BRO,261559.34,804646.2,728425.794,702608.643,CA3A,,30,48,36,19880301,19980417
52,,05097,3A-NW,3A-NW,G3ANW,STG,BK,INST,TOW1,WMD,,08-JUN-1971,17-MAY-2000,0,,BRO,261559.34,804646.2,728425.794,702608.643,CA3A,,30,48,36,19710608,20000517
53,,LA371,3A-NW,3A-NW,G3ANW,STG,BK,INST,CR10,WMD,,23-MAY-2000,01-NOV-2024,0,,BRO,261559.34,804646.2,728425.794,702608.643,CA3A,,30,48,36,20000523,20241101
54,,05098,3A-NW,3A-NW,G3ANW,STG,DA,MEAN,TOW1,WMD,,08-JUN-1971,17-MAY-2000,0,,BRO,261559.34,804646.2,728425.794,702608.643,CA3A,,30,48,36,19710608,20000517
55,,LA369,3A-NW,3A-NW,G3ANW,STG,DA,MEAN,CR10,WMD,,23-MAY-2000,31-OCT-2024,0,,BRO,261559.34,804646.2,728425.794,702608.643,CA3A,,30,48,36,20000523,20241031
56,,05103,3A-SW_B,3A-SW,G3ASW,STG,BK,INST,TOW1,WMD,,10-JUL-1975,18-FEB-1999,0,,BRO,255923.334,805010.225,709980.134,602022.486,CA3A,,34,51,35,19750710,19990218
57,,JA343,3A-SW_B,3A-SW_B,G3ASW,STG,BK,INST,CR10,WMD,,19-FEB-1999,01-NOV-2024,0,,BRO,255923.334,805010.225,709980.134,602022.486,CA3A,,34,51,35,19990219,20241101
58,,05104,3A-SW_B,3A-SW,G3ASW,STG,DA,MEAN,TOW1,WMD,,10-JUL-1975,18-FEB-1999,0,,BRO,255923.334,805010.225,709980.134,602022.486,CA3A,,34,51,35,19750710,19990218
59,,JA342,3A-SW_B,3A-SW_B,G3ASW,STG,DA,MEAN,CR10,WMD,,19-FEB-1999,31-OCT-2024,0,,BRO,255923.334,805010.225,709980.134,602022.486,CA3A,,34,51,35,19990219,20241031
60,,05101,3A-S_B,3A-S,G3AS,STG,BK,INST,TOW1,WMD,,03-JAN-1980,08-APR-1998,0,,BRO,260455.534,804129.551,757409.48,635647.592,CA3A,,25,50,36,19800103,19980408
61,,IW750,3A-S_B,3A-S_B,G3AS,STG,BK,INST,CR10,WMD,,08-APR-1998,01-NOV-2024,0,,BRO,260455.534,804129.551,757409.48,635647.592,CA3A,,25,50,36,19980408,20241101
62,,05102,3A-S_B,3A-S,G3AS,STG,DA,MEAN,TOW1,WMD,,03-JAN-1980,08-APR-1998,0,,BRO,260455.534,804129.551,757409.48,635647.592,CA3A,,25,50,36,19800103,19980408
63,,HC940,3A-S_B,3A-S_B,G3AS,STG,DA,MEAN,CR10,WMD,,08-APR-1998,31-OCT-2024,0,,BRO,260455.534,804129.551,757409.48,635647.592,CA3A,,25,50,36,19980408,20241031
64,,PT603,3AN1W1,TREE,G3AN11,STG,BK,INST,CR10,WMD,,18-JUL-2002,01-NOV-2024,0,,BRO,261116.304,804425.28,741311.022,674056.14,CA3A,,33,49,36,20020718,20241101
65,,OH538,3AN1W1,TREE,G3AN11,STG,DA,MEAN,CR10,WMD,,18-JUL-2002,31-OCT-2024,0,,BRO,261116.304,804425.28,741311.022,674056.14,CA3A,,33,49,36,20020718,20241031
66,,TO071,3AS3W1,TREE,G3AS31,STG,BK,INST,CR10,WMD,,09-MAY-2000,14-JUN-2021,0,,DAD,255126.333,804616.979,731346.479,553896.656,CA3A,,18,53,36,20000509,20210614
67,,M6883,3AS3W1,TREE,G3AS31,STG,DA,MEAN,CR10,WMD,,09-MAY-2000,14-JUN-2021,0,,DAD,255126.333,804616.979,731346.479,553896.656,CA3A,,18,53,36,20000509,20210614
68,,05583,3B-SE_B,3B-SE,3B-SE,STG,BK,INST,A10,WMD,,10-MAY-1984,14-JUL-1994,0,,DAD,254701.072,803010.485,819736.011,527360.934,CA3B,,38,35,53,19840510,19940714
69,,IW754,3B-SE_B,3B-SE,3B-SE,STG,BK,INST,CR10,WMD,,14-JUL-1994,13-JAN-2016,0,,DAD,254701.072,803010.485,819736.011,527360.934,CA3B,,38,35,53,19940714,20160113
70,,05584,3B-SE_B,3B-SE,3B-SE,STG,DA,MEAN,A10,WMD,,10-MAY-1984,14-JUL-1994,0,,DAD,254701.072,803010.485,819736.011,527360.934,CA3B,,38,35,53,19840510,19940714
71,,15934,3B-SE_B,3B-SE,3B-SE,STG,DA,MEAN,CR10,WMD,,14-JUL-1994,13-JAN-2016,0,,DAD,254701.072,803010.485,819736.011,527360.934,CA3B,,38,35,53,19940714,20160113
72,,RY913,3BS1W1,TREE,G3BS11,STG,BK,INST,CR10,WMD,,09-MAY-2000,01-NOV-2024,0,,DAD,254649.361,803041.235,816927.977,526166.978,CA3B,,2,54,38,20000509,20241101
73,,M6889,3BS1W1,TREE,G3BS11,STG,DA,MEAN,CR10,WMD,,09-MAY-2000,31-OCT-2024,0,,DAD,254649.361,803041.235,816927.977,526166.978,CA3B,,2,54,38,20000509,20241031
74,,IW757,6MI.10,6MI.10,6MI.10,STG,BK,INST,SDIG,WMD,,08-MAR-1989,16-MAY-2002,0,,LEE,263116.28,815112.297,377104.233,796054.492,ESTERO,,31,45,25,19890308,20020516
75,,PI221,6MI.10,6MI.10,6MI.10,STG,BK,INST,CR10,WMD,,12-MAR-2003,19-OCT-2006,0,,LEE,263116.28,815112.297,377104.233,796054.492,ESTERO,,31,45,25,20030312,20061019
76,,12834,6MI.10,6MI.10,6MI.10,STG,DA,MAX,SDIG,WMD,,08-MAR-1989,16-MAY-2002,0,,LEE,263116.28,815112.297,377104.233,796054.492,ESTERO,,31,45,25,19890308,20020516
77,,12833,6MI.10,6MI.10,6MI.10,STG,DA,MEAN,SDIG,WMD,,08-MAR-1989,16-MAY-2002,0,,LEE,263116.28,815112.297,377104.233,796054.492,ESTERO,,31,45,25,19890308,20020516
78,,PI220,6MI.10,6MI.10,6MI.10,STG,DA,MEAN,CR10,WMD,,12-MAR-2003,19-OCT-2006,0,,LEE,263116.28,815112.297,377104.233,796054.492,ESTERO,,31,45,25,20030312,20061019
79,,IW759,6MI.82,6MI.82,6MI.82,STG,BK,INST,SDIG,WMD,,07-MAR-1989,21-MAY-2002,0,,LEE,263733.263,814639.288,402134.259,833962.138,ESTERO,,26,44,25,19890307,20020521
80,,PI225,6MI.82,6MI.82,6MI.82,STG,BK,INST,CR10,WMD,,12-MAR-2003,31-MAR-2011,0,,LEE,263733.263,814639.288,402134.259,833962.138,ESTERO,,26,44,25,20030312,20110331
81,,12836,6MI.82,6MI.82,6MI.82,STG,DA,MAX,SDIG,WMD,,07-MAR-1989,21-MAY-2002,0,,LEE,263733.263,814639.288,402134.259,833962.138,ESTERO,,26,44,25,19890307,20020521
82,,12835,6MI.82,6MI.82,6MI.82,STG,DA,MEAN,SDIG,WMD,,07-MAR-1989,21-MAY-2002,0,,LEE,263733.263,814639.288,402134.259,833962.138,ESTERO,,26,44,25,19890307,20020521
83,,PI224,6MI.82,6MI.82,6MI.82,STG,DA,MEAN,CR10,WMD,,12-MAR-2003,31-MAR-2011,0,,LEE,263733.263,814639.288,402134.259,833962.138,ESTERO,,26,44,25,20030312,20110331
84,,IW761,6MI.DR.H_H,6MI.DR.H,G6MIDR,STG,BK,INST,SDIG,WMD,H,09-MAR-1989,21-JUN-2002,0,,LEE,263248.898,815004.481,383325.99,805367.556,ESTERO,,20,45,25,19890309,20020621
85,,PI229,6MI.DR.H_H,6MI.DR.H,G6MIDR,STG,BK,INST,CR10,WMD,H,14-AUG-2002,01-NOV-2024,0,,LEE,263248.898,815004.481,383325.99,805367.556,ESTERO,,20,45,25,20020814,20241101
86,,12830,6MI.DR.H_H,6MI.DR.H,G6MIDR,STG,DA,MAX,SDIG,WMD,H,09-MAR-1989,21-JUN-2002,0,,LEE,263248.898,815004.481,383325.99,805367.556,ESTERO,,20,45,25,19890309,20020621
87,,12829,6MI.DR.H_H,6MI.DR.H,G6MIDR,STG,DA,MEAN,SDIG,WMD,H,09-MAR-1989,21-JUN-2002,0,,LEE,263248.898,815004.481,383325.99,805367.556,ESTERO,,20,45,25,19890309,20020621
88,,PI228,6MI.DR.H_H,6MI.DR.H,G6MIDR,STG,DA,MEAN,CR10,WMD,H,14-AUG-2002,31-OCT-2024,0,,LEE,263248.898,815004.481,383325.99,805367.556,ESTERO,,20,45,25,20020814,20241031
89,,IW763,6MI.DR.T_T,6MI.DR.T,G6MIDR,STG,BK,INST,SDIG,WMD,T,09-MAR-1989,21-JUN-2002,0,,LEE,263248.271,814004.554,437807.722,804984.957,ESTERO,,20,45,25,19890309,20020621
90,,PI231,6MI.DR.T_T,6MI.DR.T,G6MIDR,STG,BK,INST,CR10,WMD,T,14-AUG-2002,01-NOV-2024,0,,LEE,263248.271,814004.554,437807.722,804984.957,ESTERO,,20,45,25,20020814,20241101
91,,12832,6MI.DR.T_T,6MI.DR.T,G6MIDR,STG,DA,MAX,SDIG,WMD,T,09-MAR-1989,21-JUN-2002,0,,LEE,263248.271,814004.554,437807.722,804984.957,ESTERO,,20,45,25,19890309,20020621
92,,12831,6MI.DR.T_T,6MI.DR.T,G6MIDR,STG,DA,MEAN,SDIG,WMD,T,09-MAR-1989,21-JUN-2002,0,,LEE,263248.271,814004.554,437807.722,804984.957,ESTERO,,20,45,25,19890309,20020621
93,,PI230,6MI.DR.T_T,6MI.DR.T,G6MIDR,STG,DA,MEAN,CR10,WMD,T,14-AUG-2002,31-OCT-2024,0,,LEE,263248.271,814004.554,437807.722,804984.957,ESTERO,,20,45,25,20020814,20241031
94,,IW765,6MI.I75,6MI.I75,6MI.I75,STG,BK,INST,SDIG,WMD,,07-MAR-1989,16-MAY-2002,0,,LEE,263611.267,814756.29,395094.375,825725.721,ESTERO,,34,44,25,19890307,20020516
95,,PI227,6MI.I75,6MI.I75,6MI.I75,STG,BK,INST,CR10,WMD,,16-MAY-2002,11-OCT-2012,0,,LEE,263611.267,814756.29,395094.375,825725.721,ESTERO,,34,44,25,20020516,20121011
96,,12823,6MI.I75,6MI.I75,6MI.I75,STG,DA,MAX,SDIG,WMD,,07-MAR-1989,16-MAY-2002,0,,LEE,263611.267,814756.29,395094.375,825725.721,ESTERO,,34,44,25,19890307,20020516
97,,12761,6MI.I75,6MI.I75,6MI.I75,STG,DA,MEAN,SDIG,WMD,,07-MAR-1989,16-MAY-2002,0,,LEE,263611.267,814756.29,395094.375,825725.721,ESTERO,,34,44,25,19890307,20020516
98,,PI226,6MI.I75,6MI.I75,6MI.I75,STG,DA,MEAN,CR10,WMD,,16-MAY-2002,11-OCT-2012,0,,LEE,263611.267,814756.29,395094.375,825725.721,ESTERO,,34,44,25,20020516,20121011
99,,IW767,6MI.PR_H,6MI.PR.H,G6MIPR,STG,BK,INST,SDIG,WMD,H,08-MAR-1989,22-APR-2002,0,,LEE,263413.272,814926.293,386848.044,813863.111,ESTERO,,8,45,25,19890308,20020422
100,,PI223,6MI.PR_H,6MI.PR_H,G6MIPR,STG,BK,INST,CR10,WMD,H,11-JUN-2002,01-NOV-2024,0,,LEE,263413.272,814926.293,386848.044,813863.111,ESTERO,,8,45,25,20020611,20241101
101,,12825,6MI.PR_H,6MI.PR.H,G6MIPR,STG,DA,MAX,SDIG,WMD,H,08-MAR-1989,22-APR-2002,0,,LEE,263413.272,814926.293,386848.044,813863.111,ESTERO,,8,45,25,19890308,20020422
102,,12824,6MI.PR_H,6MI.PR.H,G6MIPR,STG,DA,MEAN,SDIG,WMD,H,08-MAR-1989,22-APR-2002,0,,LEE,263413.272,814926.293,386848.044,813863.111,ESTERO,,8,45,25,19890308,20020422
103,,PI222,6MI.PR_H,6MI.PR_H,G6MIPR,STG,DA,MEAN,CR10,WMD,H,11-JUN-2002,31-OCT-2024,0,,LEE,263413.272,814926.293,386848.044,813863.111,ESTERO,,8,45,25,20020611,20241031
104,,IW769,6MI.PR_T,6MI.PR.T,G6MIPR,STG,BK,INST,SDIG,WMD,T,08-MAR-1989,13-DEC-1994,0,,LEE,263409.272,814928.293,386663.844,813460.401,ESTERO,,8,45,25,19890308,19941213
105,,12828,6MI.PR_T,6MI.PR.T,G6MIPR,STG,DA,MAX,SDIG,WMD,T,08-MAR-1989,13-DEC-1994,0,,LEE,263409.272,814928.293,386663.844,813460.401,ESTERO,,8,45,25,19890308,19941213
106,,12827,6MI.PR_T,6MI.PR.T,G6MIPR,STG,DA,MEAN,SDIG,WMD,T,08-MAR-1989,13-DEC-1994,0,,LEE,263409.272,814928.293,386663.844,813460.401,ESTERO,,8,45,25,19890308,19941213
107,,IW772,951EXT,951EXT,EXT951,STG,BK,INST,CR10,WMD,T,19-JUN-1996,26-JAN-2017,0,,COL,261809.306,814118.29,430636.031,716269.43,COCOHATC,,14,48,26,19960619,20170126
108,,DO533,951EXT,951EXT,EXT951,STG,DA,MEAN,CR10,WMD,T,19-JUN-1996,26-JAN-2017,0,,COL,261809.306,814118.29,430636.031,716269.43,COCOHATC,,14,48,26,19960619,20170126
109,,64067,A1FEBCE,A1FEBCE,A1FEBCE,STG,BK,INST,TELE,WMD,,13-AUG-2015,01-NOV-2024,0,,PAL,262609.271,803715.578,780190.4,764312.894,A1FEB,,14,46,37,20150813,20241101
110,,64066,A1FEBCE,A1FEBCE,A1FEBCE,STG,DA,MEAN,TELE,WMD,,13-AUG-2015,31-OCT-2024,0,,PAL,262609.271,803715.578,780190.4,764312.894,A1FEB,,14,46,37,20150813,20241031
111,,64069,A1FEBNE,A1FEBNE,A1FEBNE,STG,BK,INST,TELE,WMD,,13-AUG-2015,01-NOV-2024,0,,PAL,262812.726,803841.928,772306.939,776755.468,A1FEB,,4,46,37,20150813,20241101
112,,64068,A1FEBNE,A1FEBNE,A1FEBNE,STG,DA,MEAN,TELE,WMD,,13-AUG-2015,31-OCT-2024,0,,PAL,262812.726,803841.928,772306.939,776755.468,A1FEB,,4,46,37,20150813,20241031
113,,64071,A1FEBNW,A1FEBNW,A1FEBNW,STG,BK,INST,TELE,WMD,,18-AUG-2015,01-NOV-2024,0,,PAL,262810.903,804115.648,758338.693,776535.144,A1FEB,,6,46,37,20150818,20241101
114,,64070,A1FEBNW,A1FEBNW,A1FEBNW,STG,DA,MEAN,TELE,WMD,,18-AUG-2015,31-OCT-2024,0,,PAL,262810.903,804115.648,758338.693,776535.144,A1FEB,,6,46,37,20150818,20241031
115,,88560,ACME1_H,ACME1_H,ACME1,STG,BK,INST,CR10,WMD,H,09-SEP-1999,18-JAN-2007,0,,PAL,263630.954,801715.74,888904.915,827546.378,C51W,,31,44,41,19990909,20070118
116,,JO090,ACME1_H,ACME1_H,ACME1,STG,DA,MEAN,CR10,WMD,H,09-SEP-1999,18-JAN-2007,0,,PAL,263630.954,801715.74,888904.915,827546.378,C51W,,31,44,41,19990909,20070118
117,,88561,ACME1_T,ACME1_T,ACME1,STG,BK,INST,CR10,WMD,T,09-SEP-1999,18-JAN-2007,0,,PAL,263629.354,801716.423,888843.846,827384.39,C51W,,31,44,41,19990909,20070118
118,,JO091,ACME1_T,ACME1_T,ACME1,STG,DA,MEAN,CR10,WMD,T,09-SEP-1999,18-JAN-2007,0,,PAL,263629.354,801716.423,888843.846,827384.39,C51W,,31,44,41,19990909,20070118
119,,88562,ACME2_H,ACME2_H,ACME2,STG,BK,INST,CR10,WMD,H,08-SEP-1999,18-JAN-2007,0,,PAL,263537.558,801616.328,894328.14,822185.177,C51W,,32,44,41,19990908,20070118
120,,JO092,ACME2_H,ACME2_H,ACME2,STG,DA,MEAN,CR10,WMD,H,08-SEP-1999,18-JAN-2007,0,,PAL,263537.558,801616.328,894328.14,822185.177,C51W,,32,44,41,19990908,20070118
121,,88563,ACME2_T,ACME2_T,ACME2,STG,BK,INST,CR10,WMD,T,08-SEP-1999,18-JAN-2007,0,,PAL,263536.43,801617.24,894245.931,822070.688,C51W,,32,44,41,19990908,20070118
122,,JO093,ACME2_T,ACME2_T,ACME2,STG,DA,MEAN,CR10,WMD,T,08-SEP-1999,18-JAN-2007,0,,PAL,263536.43,801617.24,894245.931,822070.688,C51W,,32,44,41,19990908,20070118
123,,SX442,ACRA1,ACRA1,ACRA1,STG,BK,INST,CR10,WMD,,27-JUL-2004,01-NOV-2024,0,,MAR,271217.862,802754.533,830009.5,1044048.444,C23,,6,38,39,20040727,20241101
124,,SX441,ACRA1,ACRA1,ACRA1,STG,DA,MEAN,CR10,WMD,,27-JUL-2004,31-OCT-2024,0,,MAR,271217.862,802754.533,830009.5,1044048.444,C23,,6,38,39,20040727,20241031
